"FIPS","state","county","votech","prod_bush","GDP2015","medinc1317","perc_HS_GED","totpop1317","urb2010","perclatino1317","trumpmarg"
40055,"OK","greer county",-4.54483062752072,0,102962,35898,0.366666666666667,6018,0,0.110003323363244,0.611286919831224
40057,"OK","harmon county",-3.21545187890863,0,75556,38264,0.249871991807476,2758,0,0.279187817258883,0.502564102564103
40059,"OK","harper county",-0.962123251478075,0,157989,46915,0.345703125,3843,0,0.22248243559719,0.791919191919192
40061,"OK","haskell county",-2.88194958438606,0,288097,38017,0.39928431259379,12746,0,0.0415816726816256,0.594634558512885
40063,"OK","hughes county",-3.98488098843238,41304,445915,38425,0.38559592096877,13519,0,0.050595458243953,0.536132596685083
40065,"OK","jackson county",-2.12001758139917,0,922842,45189,0.267444717444717,25574,0,0.233127395010558,0.575967204714322
40067,"OK","jefferson county",-2.67995399607165,0,114228,35933,0.416647237118209,6270,0,0.0995215311004785,0.656716417910448
40069,"OK","johnston county",-0.84858321438841,0,217803,38636,0.362271805273834,11039,0,0.0500045293957786,0.574606348412897
40071,"OK","kay county",-4.90874600951766,333650,1740647,44067,0.323552123552124,45173,0,0.0759303123547252,0.502173265852932
40073,"OK","kingfisher county",-1.88467707348139,172586,682965,62829,0.359217545939538,15510,0,0.15170857511283,0.713375796178344
40075,"OK","kiowa county",-4.42223806420334,31880,225274,38191,0.374663499604117,9127,0,0.111646762353457,0.523645743766122
40077,"OK","latimer county",-6.76009906604738,0,357227,40539,0.361258741258741,10621,0,0.033895113454477,0.56716049382716
40079,"OK","le flore county",-3.16209249898375,134367,1181999,39253,0.411738444596565,49860,0.041779136233725,0.0679302045728039,0.587301587301587
40081,"OK","lincoln county",-4.35433696560387,2040,630440,47539,0.393011986738077,34759,0,0.0323081791766161,0.601028497964431
40083,"OK","logan county",-4.1706380410549,25532,684784,59133,0.324077493872343,45326,0.250525712100937,0.0573180955742841,0.494722398142284
40085,"OK","love county",-5.11328258299492,0,427148,49409,0.428374021188392,9843,0,0.149141521893732,0.576973857935041
40093,"OK","major county",-1.58557414976865,101649,363875,52056,0.411932901258101,7730,0,0.0923673997412678,0.77375698734922
