dyad,state1no,state1ab,state2no,state2ab,year,conttype,version
2040,2,"USA",40,"CUB",1955,4,3.1
2040,2,"USA",40,"CUB",1956,4,3.1
2040,2,"USA",40,"CUB",1957,4,3.1
2040,2,"USA",40,"CUB",1958,4,3.1
2040,2,"USA",40,"CUB",1959,4,3.1
2040,2,"USA",40,"CUB",1960,4,3.1
2040,2,"USA",40,"CUB",1961,4,3.1
2040,2,"USA",40,"CUB",1962,4,3.1
2040,2,"USA",40,"CUB",1963,4,3.1
2040,2,"USA",40,"CUB",1964,4,3.1
2040,2,"USA",40,"CUB",1965,4,3.1
2040,2,"USA",40,"CUB",1966,4,3.1
2040,2,"USA",40,"CUB",1967,4,3.1
2040,2,"USA",40,"CUB",1968,4,3.1
2040,2,"USA",40,"CUB",1969,4,3.1
2040,2,"USA",40,"CUB",1970,4,3.1
2040,2,"USA",40,"CUB",1971,4,3.1
2040,2,"USA",40,"CUB",1972,4,3.1
2040,2,"USA",40,"CUB",1973,4,3.1
2040,2,"USA",40,"CUB",1974,4,3.1
2040,2,"USA",40,"CUB",1975,4,3.1
2040,2,"USA",40,"CUB",1976,4,3.1
2040,2,"USA",40,"CUB",1977,4,3.1
2040,2,"USA",40,"CUB",1978,4,3.1
2040,2,"USA",40,"CUB",1979,4,3.1
2040,2,"USA",40,"CUB",1980,4,3.1
2040,2,"USA",40,"CUB",1981,4,3.1
2040,2,"USA",40,"CUB",1982,4,3.1
2040,2,"USA",40,"CUB",1983,4,3.1
2040,2,"USA",40,"CUB",1984,4,3.1
2040,2,"USA",40,"CUB",1985,4,3.1
2040,2,"USA",40,"CUB",1986,4,3.1
2040,2,"USA",40,"CUB",1987,4,3.1
2040,2,"USA",40,"CUB",1988,4,3.1
2040,2,"USA",40,"CUB",1989,4,3.1
2040,2,"USA",40,"CUB",1990,4,3.1
2040,2,"USA",40,"CUB",1991,4,3.1
2040,2,"USA",40,"CUB",1992,4,3.1
2040,2,"USA",40,"CUB",1993,4,3.1
2040,2,"USA",40,"CUB",1994,4,3.1
2040,2,"USA",40,"CUB",1995,4,3.1
2040,2,"USA",40,"CUB",1996,4,3.1
2040,2,"USA",40,"CUB",1997,4,3.1
2040,2,"USA",40,"CUB",1998,4,3.1
2040,2,"USA",40,"CUB",1999,4,3.1
2040,2,"USA",40,"CUB",2000,4,3.1
2040,2,"USA",40,"CUB",2001,4,3.1
2040,2,"USA",40,"CUB",2002,4,3.1
2040,2,"USA",40,"CUB",2003,4,3.1
2040,2,"USA",40,"CUB",2004,4,3.1
2040,2,"USA",40,"CUB",2005,4,3.1
2040,2,"USA",40,"CUB",2006,4,3.1
2070,2,"USA",70,"MEX",1831,1,3.1
2070,2,"USA",70,"MEX",1832,1,3.1
2070,2,"USA",70,"MEX",1833,1,3.1
2070,2,"USA",70,"MEX",1834,1,3.1
2070,2,"USA",70,"MEX",1835,1,3.1
2070,2,"USA",70,"MEX",1836,1,3.1
2070,2,"USA",70,"MEX",1837,1,3.1
2070,2,"USA",70,"MEX",1838,1,3.1
2070,2,"USA",70,"MEX",1839,1,3.1
2070,2,"USA",70,"MEX",1840,1,3.1
2070,2,"USA",70,"MEX",1841,1,3.1
2070,2,"USA",70,"MEX",1842,1,3.1
2070,2,"USA",70,"MEX",1843,1,3.1
2070,2,"USA",70,"MEX",1844,1,3.1
2070,2,"USA",70,"MEX",1845,1,3.1
2070,2,"USA",70,"MEX",1846,1,3.1
2070,2,"USA",70,"MEX",1847,1,3.1
2070,2,"USA",70,"MEX",1848,1,3.1
2070,2,"USA",70,"MEX",1849,1,3.1
2070,2,"USA",70,"MEX",1850,1,3.1
2070,2,"USA",70,"MEX",1851,1,3.1
2070,2,"USA",70,"MEX",1852,1,3.1
2070,2,"USA",70,"MEX",1853,1,3.1
2070,2,"USA",70,"MEX",1854,1,3.1
2070,2,"USA",70,"MEX",1855,1,3.1
2070,2,"USA",70,"MEX",1856,1,3.1
2070,2,"USA",70,"MEX",1857,1,3.1
2070,2,"USA",70,"MEX",1858,1,3.1
2070,2,"USA",70,"MEX",1859,1,3.1
2070,2,"USA",70,"MEX",1860,1,3.1
2070,2,"USA",70,"MEX",1861,1,3.1
2070,2,"USA",70,"MEX",1862,1,3.1
2070,2,"USA",70,"MEX",1863,1,3.1
2070,2,"USA",70,"MEX",1864,1,3.1
2070,2,"USA",70,"MEX",1865,1,3.1
2070,2,"USA",70,"MEX",1866,1,3.1
2070,2,"USA",70,"MEX",1867,1,3.1
2070,2,"USA",70,"MEX",1868,1,3.1
2070,2,"USA",70,"MEX",1869,1,3.1
2070,2,"USA",70,"MEX",1870,1,3.1
