"FIPS","state","county","votech","prod_bush","GDP2015","medinc1317","perc_HS_GED","totpop1317","urb2010","perclatino1317","trumpmarg","state_name","confirmed","deaths","cases_pc","W"
48259,"TX","kendall",-5.92247519600115,0,1720960,81023,0.222302863156367,40306,0.0382220891948518,0.230362725152583,0.603430979133226,"texas",377,10,0.00935344613705156,0.0239869946433528
48261,"TX","kenedy",1.58417342530129,0,162387,24800,0.26099706744868,564,0,0.884751773049645,-0.0806451612903226,"texas",7,2,0.0124113475177305,0.0250576140831079
48265,"TX","kerr",-5.49273829846723,0,1730818,48698,0.275772703712797,50761,0,0.26128326865113,0.562711130359463,"texas",669,13,0.0131794093890979,0.0282268311687966
48271,"TX","kinney",4.59642935498372,0,88999,34926,0.340721262208866,3631,0,0.618286973285596,0.336376404494382,"texas",62,1,0.0170751858992013,0.0300279429904095
48273,"TX","kleberg",-0.86235279488131,0,1233110,41700,0.228727377190463,31540,0,0.723493975903614,-0.0368026995676474,"texas",1031,49,0.0326886493341788,0.0181094025365545
48281,"TX","lampasas",-2.09974500301685,0,379376,54467,0.270617283950617,20473,0.00833460385221324,0.192204366726909,0.600319057553074,"texas",297,9,0.014506911542031,0.0200452107847893
48283,"TX","la salle",1.9058062930336,0,473814,44601,0.393011385944248,7418,0,0.799137233755729,-0.124450951683748,"texas",360,13,0.0485306012402265,0.0355249371293105
48285,"TX","lavaca",2.06216322216842,0,642853,51708,0.41889132020423,19859,0,0.180925524950904,0.714583574655392,"texas",1087,37,0.0547358880104738,0.0405651632709301
48287,"TX","lee",-1.33469800761148,0,753284,55741,0.369179986101459,16850,0,0.232403560830861,0.555657773689052,"texas",235,14,0.013946587537092,0.0350903969927411
48289,"TX","leon",-5.39747777840335,0,729847,44875,0.397620270501626,16966,0,0.14175409642815,0.740110706088835,"texas",319,10,0.0188023105033597,0.0228488151161523
48293,"TX","limestone",-0.422144952946568,0,1159468,40356,0.340603190428714,23480,0,0.212691652470187,0.52288179916318,"texas",659,16,0.0280664395229983,0.0193532816147394
48297,"TX","live oak",1.222055310375,0,725123,51480,0.347109330280481,12043,0,0.387694096155443,0.635340988985235,"texas",374,9,0.0310553848708793,0.0344155620386004
48301,"TX",NA,-2.38095238095237,0,4300,80938,0.328125,74,0,0.162162162162162,0.828125,NA,NA,NA,0,0.0265519002270108
48309,"TX","mclennan",-2.98753016135576,7936,11393057,46262,0.279626516517125,245720,0.73381693102773,0.256430083021325,0.270896428343237,"texas",9399,125,0.0382508546312876,0.0374203324750424
48321,"TX","matagorda",2.58280050547917,142579,1919337,44896,0.329175704989154,36744,0,0.414489440452863,0.406655913065625,"texas",1085,51,0.0295286305247115,0.0190835262296472
48323,"TX","maverick",5.77429860696373,0,1311650,37734,0.210153702841174,57471,0,0.952950183570844,-0.557918751839859,"texas",3838,142,0.0667815071949331,0.0270650950855097
48325,"TX","medina",-0.469352326576167,0,837647,59305,0.3208089804249,48548,0,0.51256488423828,0.432303485192297,"texas",1251,48,0.0257683117739145,0.0312686532540867
48331,"TX","milam",-0.955378167484744,0,986690,41768,0.374337029893925,24479,0,0.257608562441276,0.499360985244568,"texas",537,7,0.0219371706360554,0.0179622757589919
48347,"TX","nacogdoches",-4.35300014605712,0,1803422,41482,0.286790530577227,65411,0,0.189142498968063,0.353499777084262,"texas",1734,66,0.0265093027166684,0.0300694376825293
48349,"TX","navarro",-3.1046027575479,0,1526706,45103,0.294686297580055,48239,0,0.262173759820892,0.487486265413258,"texas",1378,30,0.0285660979705218,0.0226217836949014
48355,"TX","nueces",-0.243563014178183,0,20594204,53317,0.291923322463205,358484,0.89112435079345,0.629905379319579,0.0154100694511245,"texas",20993,436,0.0585604936343045,0.030894489667003
48365,"TX","panola",-0.339981396254774,0,1088022,49704,0.326915793460422,23574,0,0.0855603631119029,0.634783443772208,"texas",447,27,0.0189615678289641,0.0241815149647263
48367,"TX","parker",-2.27868522778977,0,3564091,70608,0.27672383205204,125963,0.0593019576316847,0.114803553424418,0.675447148706858,"texas",2256,42,0.0179100211967006,0.0196256711544302
48371,"TX","pecos",5.67016757194534,0,667020,50543,0.365722885899727,15804,0,0.684763351050367,0.21886249100072,"texas",424,5,0.0268286509744369,0.0287077766865701
48377,"TX","presidio",-3.48988999954357,0,243299,26486,0.181979189727695,7191,0,0.814073146989292,-0.365864729913754,"texas",122,7,0.0169656515088305,0.0252717795039566
48383,"TX","reagan",2.43465698375972,0,247821,59760,0.321853741496599,3735,0,0.701472556894244,0.602222222222222,"texas",93,6,0.0248995983935743,0.0241024395342075
48385,"TX","real",-4.69142237270523,0,62184,36493,0.255169561621175,3358,0,0.197736748064324,0.66746126340882,"texas",120,8,0.0357355568790947,0.0292330278583317
48389,"TX","reeves",3.39199508136993,0,438267,49390,0.276782973498414,14791,0,0.750185923872625,-0.0760050251256281,"texas",242,6,0.0163613007910216,0.0214381089918515
48391,"TX","refugio",1.88579752153832,2580,273381,50338,0.341572123176661,7293,0,0.49718908542438,0.270288624787776,"texas",313,15,0.0429178664472782,0.0231764986943555
48395,"TX","robertson",-0.139578627150005,85650,1122455,52189,0.359638233729385,16727,0,0.202188079153464,0.351212553495007,"texas",402,4,0.0240330005380523,0.0240720078416195
48401,"TX","rusk",-1.16855026709628,0,2045203,49270,0.308595909342178,53026,5.62535158447403e-05,0.161411383095085,0.565441718437401,"texas",970,20,0.0182929129106476,0.027371463804242
48403,"TX","sabine",1.07120995948348,0,206619,33561,0.427114427860697,10429,0,0.0404640905168281,0.727703576044808,"texas",87,9,0.00834212292645508,0.0135332841203557
48405,"TX","san augustine",1.19249700535864,0,135528,32394,0.392833876221498,8403,0,0.0694989884565036,0.480774628122369,"texas",213,15,0.0253480899678686,0.0200006222230521
48409,"TX","san patricio",1.47821960649431,0,2363122,53332,0.32404961796057,66867,0.260601197456947,0.568352101933689,0.240738158322874,"texas",1549,79,0.0231653880090329,0.0192219425560648
