"ccode1","ccode2","edge","defense","mil_ratio","tot_trade","joint_dem","year"
2,70,15,1,0.93799418,1223.9,0,1959
2,70,15,1,0.9294917,1348.4,0,1960
2,70,15,1,0.91944665,1385.9,0,1961
2,70,15,1,0.90739113,1422.5,0,1962
2,70,15,1,0.89662009,1511.2,0,1963
2,70,15,1,0.88410479,1732.3,0,1964
2,70,15,1,0.87840438,1725.2,0,1965
2,70,15,1,0.87293464,1849.8,0,1966
2,70,15,1,0.86142629,1911,0,1967
2,70,15,1,0.86108744,2202.6001,0,1968
2,70,15,1,0.85717702,2391.8999,0,1969
2,70,15,1,0.85554916,2732.7,0,1970
2,70,15,1,0.85867178,2665,0,1971
2,70,15,1,0.85465807,3285.6001,0,1972
2,70,15,1,0.84802186,4735.5,0,1973
2,70,15,1,0.83946651,7393.2002,0,1974
2,70,15,1,0.82435715,7225.2002,0,1975
2,70,15,1,0.83951044,7429.5996,0,1976
2,70,15,1,0.84980667,8262.7002,0,1977
2,70,15,1,0.84596425,10759.1,0,1978
2,70,15,1,0.84938318,16560.199,0,1979
2,70,15,1,0.84723014,24814.199,0,1980
2,70,15,1,0.86426485,29410.801,0,1981
2,70,15,1,0.85826874,24776.699,0,1982
2,70,15,1,0.89990175,22472.699,0,1983
2,70,15,1,0.9092865,25350.4,0,1984
2,70,15,1,0.85544568,29241.602,0,1985
2,70,15,1,0.90671158,25889.441,0,1986
2,70,15,1,0.87480009,29596.73,0,1987
2,70,15,1,0.90567964,37880.898,0,1988
2,70,15,1,0.90712976,44699.5,0,1989
2,70,15,1,0.90741724,52627,0,1990
2,70,15,1,0.9167316,72420,0,1991
2,70,15,1,0.86243516,84592.602,0,1992
2,70,15,1,0.86446542,91941.297,0,1993
2,70,15,1,0.83250219,113065.3,0,1994
2,70,15,1,0.82678384,122150.3,0,1995
2,70,15,1,0.77406764,148503,0,1996
2,70,15,1,0.78092605,177567,0,1997
2,70,15,1,0.76430643,198654.8,0,1998
2,70,15,1,0.75606424,225293,0,1999
2,70,15,1,0.72665334,275368,1,2000
2,70,15,1,0.71982765,257921,1,2001
2,70,15,1,0.78066224,253356,1,2002
2,70,15,1,0.79475832,255599,1,2003
2,70,15,1,0.80290264,279730,1,2004
2,70,15,1,0.80303246,302887,1,2005
2,70,15,1,0.8088479,343936,1,2006
2,70,15,1,0.80746055,366309,1,2007
2,80,16,0,0.99889886,123.73,1,1986
2,80,16,0,0.99736261,127.5,1,1987
2,80,16,0,0.99775529,145.20999,1,1988
2,80,16,0,0.99762833,168.72,1,1989
2,80,16,0,0.99769461,171.01999,1,1990
2,80,16,1,0.99815154,183.95,1,1991
2,80,16,1,0.99857306,217.36002,1,1993
2,80,16,1,0.99786991,191.95999,1,1994
2,80,16,1,0.9974575,195.71001,1,1995
2,80,16,1,0.99692285,213.72,1,1996
2,80,16,1,0.99654603,230.34,1,1997
2,80,16,1,0.99614912,230.67999,1,1998
2,80,16,1,0.99614817,283.94,1,1999
2,80,16,1,0.9960134,316.01001,1,2000
2,80,16,1,0.99603629,292.78,1,2001
2,80,16,1,0.99662119,234.73,1,2002
2,80,16,1,0.99650508,325.64999,1,2003
2,80,16,1,0.99646002,280.06,1,2004
2,80,16,1,0.99663287,342.57999,1,2005
2,80,16,1,0.99651068,418.67999,1,2006
2,80,16,1,0.99668968,371.01999,1,2007
2,90,17,1,0.99789035,0,0,1946
2,90,17,1,0.99722064,0,0,1947
2,90,17,1,0.99643952,102.1,0,1948
2,90,17,1,0.99486917,98.900002,0,1949
2,90,17,1,0.99387515,105.7,0,1950
2,90,17,1,0.98995864,123.3,0,1951
2,90,17,1,0.99064642,117.6,0,1952
2,90,17,1,0.99124175,119.3,0,1953
2,90,17,1,0.99106008,125.6,0,1954
2,90,17,1,0.99028081,147.8,0,1955
2,90,17,1,0.98998892,176.64,0,1956
2,90,17,1,0.98990589,167.78,0,1957
2,90,17,1,0.98941827,160.7,0,1958
2,90,17,1,0.98897582,143.7,0,1959
2,90,17,1,0.98881906,130.5,0,1960
2,90,17,1,0.9885149,132.5,0,1961
2,90,17,1,0.98708504,133.3,0,1962
2,90,17,1,0.98478031,155.60001,0,1963
2,90,17,1,0.98129863,157.89999,0,1964
2,90,17,1,0.978302,168.89999,0,1965
2,90,17,1,0.97880572,175.60001,0,1966
2,90,17,1,0.97692722,169.60001,0,1967
2,90,17,1,0.97758925,177.10001,0,1968
2,90,17,1,0.97895795,167.01999,0,1969
2,90,17,1,0.97702789,193.87,0,1970
2,90,17,1,0.97709614,199.17999,0,1971
2,90,17,1,0.97499216,219.76999,0,1972
2,90,17,1,0.97822386,313.64999,0,1973
2,90,17,1,0.97719359,448.88,0,1974
2,90,17,1,0.97194374,441.35001,0,1975
2,90,17,1,0.9708612,622.81,0,1976
2,90,17,1,0.9647094,797.84998,0,1977
2,90,17,1,0.96829921,748.20001,0,1978
2,90,17,1,0.96585667,921.23999,0,1979
2,90,17,1,0.96216583,1017.1899,0,1980
2,90,17,1,0.9594537,949.95001,0,1981
2,90,17,1,0.95545965,796.89001,0,1982
2,90,17,1,0.95678538,769.26001,0,1983
2,90,17,1,0.95657027,882.70996,0,1984
2,90,17,1,0.95872474,890.12,0,1985
2,90,17,1,0.96728665,1063.48,0,1986
2,90,17,1,0.97266299,1107.03,0,1987
2,90,17,1,0.96838331,1068.71,0,1988
2,90,17,1,0.96793556,1276.9399,0,1989
2,90,17,1,0.98127657,1537.8401,0,1990
2,90,17,1,0.9726367,1768.11,0,1991
2,90,17,1,0.97817165,2355.5601,0,1992
2,90,17,1,0.97942996,2500.1699,0,1993
2,90,17,1,0.97457439,2555.21,0,1994
2,90,17,1,0.97132826,3110.4502,0,1995
2,90,17,1,0.95843041,3195.1001,1,1996
2,90,17,1,0.96019912,3818.55,1,1997
2,90,17,1,0.96103138,4347.29,1,1998
2,90,17,1,0.96331429,4416.29,1,1999
2,90,17,1,0.96250862,4820.23,1,2000
2,90,17,1,0.9571749,4716.5098,1,2001
2,90,17,1,0.96266651,6250.3203,1,2002
2,90,17,1,0.95950013,6526.6802,1,2003
2,90,17,1,0.976587,6579.2197,1,2004
2,90,17,1,0.97972345,7343.5703,1,2005
2,90,17,1,0.97111112,7196.3203,1,2006
2,90,17,1,0.96993339,7999.8896,1,2007
2,91,18,1,0.99902862,0,0,1946
2,91,18,1,0.99842346,0,0,1947
2,91,18,1,0.99750048,47.690002,0,1948
2,91,18,1,0.99763727,50.330002,0,1949
2,91,18,1,0.99710351,49.16,0,1950
2,91,18,1,0.99512118,70.949997,0,1951
2,91,18,1,0.99515671,76.75,0,1952
2,91,18,1,0.99566185,80.349998,0,1953
2,91,18,1,0.99574453,71.830002,0,1954
2,91,18,1,0.99564767,66.490005,0,1955
2,91,18,1,0.99468595,77.559998,0,1956
2,91,18,1,0.99501622,79.400002,0,1957
2,91,18,1,0.99488497,73.099998,0,1958
2,91,18,1,0.99457902,63,0,1959
2,91,18,1,0.99483567,79.099998,0,1960
2,91,18,1,0.99071157,74.5,0,1961
2,91,18,1,0.9899177,78.300003,0,1962
2,91,18,1,0.99009943,82.5,0,1963
2,91,18,1,0.99163008,98.699997,0,1964
2,91,18,1,0.99034131,139.5,0,1965
2,91,18,1,0.98986602,171.3,0,1966
2,91,18,1,0.99008274,157.10001,0,1967
2,91,18,1,0.99032015,179.57001,0,1968
2,91,18,1,0.98923314,181.48999,0,1969
2,91,18,1,0.98808712,200.48999,0,1970
2,91,18,1,0.98539895,219.48999,0,1971
2,91,18,1,0.98142338,208.14,0,1972
2,91,18,1,0.98275042,267.04001,0,1973
2,91,18,1,0.98473722,316.16998,0,1974
2,91,18,1,0.98303425,333.88,0,1975
2,91,18,1,0.98330861,445.16998,0,1976
2,91,18,1,0.98429912,541.58997,0,1977
2,91,18,1,0.98276377,673.02002,0,1978
2,91,18,1,0.98382372,826.83002,0,1979
2,91,18,1,0.97722811,900.94,0,1980
2,91,18,1,0.98313677,885.05005,0,1981
2,91,18,1,0.98053885,699.09998,0,1982
2,91,18,1,0.97926748,730.95001,0,1983
2,91,18,1,0.97567344,804.27002,0,1984
2,91,18,1,0.9801293,753.03003,0,1985
2,91,18,1,0.98110276,769.27002,0,1986
2,91,18,1,0.96716446,888.40002,0,1987
2,91,18,1,0.97003686,888.30005,0,1988
2,91,18,1,0.96807832,963.55005,0,1989
2,91,18,1,0.98700124,909.40002,0,1990
2,91,18,1,0.9851498,973.90002,0,1991
2,91,18,1,0.99019021,1398.2,0,1992
2,91,18,1,0.99070197,1573.2,0,1993
2,91,18,1,0.99023765,1801.7,0,1994
2,91,18,1,0.98794341,2246.8,0,1995
2,91,18,1,0.97874522,2757.3999,0,1996
2,91,18,1,0.97696686,3471.8,0,1997
2,91,18,1,0.97747958,3816,0,1998
2,91,18,1,0.97731918,5364.0298,0,1999
2,91,18,1,0.97738701,4530.1602,0,2000
2,91,18,1,0.97741312,4585.9102,0,2001
2,91,18,1,0.98507357,4595.1699,0,2002
2,91,18,1,0.98527205,4785.3896,0,2003
2,91,18,1,0.9861061,5298.3398,0,2004
2,91,18,1,0.98681676,7488.0898,0,2005
2,91,18,1,0.98726404,7955.8398,0,2006
2,91,18,1,0.98432541,7024.8896,0,2007
2,92,19,0,0.99915749,0,0,1946
2,92,19,1,0.99873972,0,0,1947
2,92,19,1,0.99817008,65.400002,0,1948
2,92,19,1,0.99766344,73.400002,0,1949
2,92,19,1,0.99628687,86.699997,0,1950
2,92,19,1,0.99360943,108.1,0,1951
2,92,19,1,0.99349725,108.4,0,1952
2,92,19,1,0.99316555,113.8,0,1953
2,92,19,1,0.99372774,117.2,0,1954
2,92,19,1,0.9915359,120.4,0,1955
2,92,19,1,0.99183202,108.2,0,1956
2,92,19,1,0.99149448,119.4,0,1957
2,92,19,1,0.99148458,105.6,0,1958
2,92,19,1,0.99236304,84.5,0,1959
2,92,19,1,0.9921307,87.5,0,1960
2,92,19,1,0.99167186,81.599998,0,1961
2,92,19,1,0.98859006,93.5,0,1962
2,92,19,1,0.99073917,95.199997,0,1963
2,92,19,1,0.98929745,113.4,0,1964
